fecha,semana,finca,zona,responsable_equipo,litros_leche,kilos_maiz,calidad_dato,observacion
2026-06-03,5,El Progreso,Oriente,Disenador visual,44.45,190.8,ok,sin novedad
2026-06-04,5,Los Naranjos,Oriente,Documentador,61.07,157.9,ok,sin novedad
2026-06-05,6,San Miguel,Oriente,Documentador,28.09,245.55,revisar,verificar registro manual
2026-06-06,6,La Rivera,Norte,Tester,61.88,84.49,ok,sin novedad
2026-06-07,6,Monteverde,Norte,Programador,76.03,172.9,ok,sin novedad
2026-06-08,6,El Guadual,Norte,Vocero,37.04,170.55,ok,sin novedad
2026-06-09,6,Buena Vista,Sur,Documentador,74.71,113.57,ok,sin novedad
2026-06-10,6,La Esperanza,Sur,Vocero,40.29,112.21,ok,sin novedad
2026-06-11,6,El Progreso,Sur,Coordinador,30.37,72.88,ok,sin novedad
2026-05-01,1,Los Naranjos,Centro,Vocero,52.85,166.15,ok,sin novedad
2026-05-02,1,San Miguel,Centro,Documentador,50.46,156.65,ok,sin novedad
2026-05-03,1,La Rivera,Centro,Disenador visual,57.32,128.59,ok,sin novedad
2026-05-04,1,Monteverde,Oriente,Tester,61.54,213.09,ok,sin novedad
2026-05-05,1,El Guadual,Oriente,Tester,63.1,218.65,ok,sin novedad
2026-05-06,1,Buena Vista,Oriente,Coordinador,65.23,136.0,ok,sin novedad
2026-05-07,1,La Esperanza,Norte,Tester,42.45,216.55,ok,sin novedad
2026-05-08,2,El Progreso,Norte,Vocero,68.3,113.97,ok,sin novedad
2026-05-09,2,Los Naranjos,Norte,Programador,31.16,125.23,ok,sin novedad
2026-05-10,2,San Miguel,Sur,Programador,48.76,125.84,dato_incompleto,falta firma
2026-05-11,2,La Rivera,Sur,Disenador visual,62.73,86.83,ok,sin novedad
2026-05-12,2,Monteverde,Sur,Tester,58.05,204.14,revisar,verificar registro manual
2026-05-13,2,El Guadual,Centro,Disenador visual,44.58,253.74,ok,sin novedad
2026-05-14,2,Buena Vista,Centro,Vocero,54.36,114.39,ok,sin novedad
2026-05-15,3,La Esperanza,Centro,Coordinador,35.89,236.98,ok,sin novedad
2026-05-16,3,El Progreso,Oriente,Tester,63.44,241.2,ok,sin novedad
2026-05-17,3,Los Naranjos,Oriente,Coordinador,49.24,170.03,revisar,verificar registro manual
2026-05-18,3,San Miguel,Oriente,Disenador visual,68.64,173.89,revisar,posible duplicado
2026-05-19,3,La Rivera,Norte,Coordinador,32.5,194.92,revisar,produccion atipica
2026-05-20,3,Monteverde,Norte,Documentador,72.89,203.68,ok,sin novedad
2026-05-21,3,El Guadual,Norte,Documentador,69.69,139.41,ok,sin novedad
2026-05-22,4,Buena Vista,Sur,Documentador,45.06,73.05,ok,sin novedad
2026-05-23,4,La Esperanza,Sur,Disenador visual,38.33,154.74,ok,sin novedad
2026-05-24,4,El Progreso,Sur,Disenador visual,52.28,78.46,ok,sin novedad
2026-05-25,4,Los Naranjos,Centro,Coordinador,28.03,158.81,ok,sin novedad
2026-05-26,4,San Miguel,Centro,Tester,66.36,143.74,ok,sin novedad
2026-05-27,4,La Rivera,Centro,Vocero,42.44,199.98,ok,sin novedad
2026-05-28,4,Monteverde,Oriente,Coordinador,33.93,221.51,ok,sin novedad
2026-05-29,5,El Guadual,Oriente,Documentador,31.63,101.89,dato_incompleto,falta firma
2026-05-30,5,Buena Vista,Oriente,Documentador,41.94,119.96,ok,sin novedad
2026-05-31,5,La Esperanza,Norte,Vocero,38.83,159.01,ok,sin novedad
2026-06-01,5,El Progreso,Norte,Disenador visual,48.01,144.25,ok,sin novedad
2026-06-02,5,Los Naranjos,Norte,Documentador,69.13,107.91,ok,sin novedad
2026-06-03,5,San Miguel,Sur,Tester,70.62,137.9,ok,sin novedad
2026-06-04,5,La Rivera,Sur,Disenador visual,32.91,139.44,ok,sin novedad
2026-06-05,6,Monteverde,Sur,Programador,70.84,220.67,ok,sin novedad
2026-06-06,6,El Guadual,Centro,Disenador visual,40.39,102.43,ok,sin novedad
2026-06-07,6,Buena Vista,Centro,Documentador,37.0,244.8,ok,sin novedad
2026-06-08,6,La Esperanza,Centro,Documentador,47.71,134.24,revisar,produccion atipica
2026-06-09,6,El Progreso,Oriente,Coordinador,33.52,164.61,dato_incompleto,pendiente confirmar turno
2026-06-10,6,Los Naranjos,Oriente,Programador,42.58,134.31,ok,sin novedad
2026-06-11,6,San Miguel,Oriente,Coordinador,71.99,122.39,ok,sin novedad
2026-05-01,1,La Rivera,Norte,Coordinador,64.04,136.76,ok,sin novedad
2026-05-02,1,Monteverde,Norte,Disenador visual,57.73,90.5,ok,sin novedad
2026-05-03,1,El Guadual,Norte,Coordinador,71.15,174.74,ok,sin novedad
2026-05-04,1,Buena Vista,Sur,Programador,57.61,78.76,ok,sin novedad
2026-05-05,1,La Esperanza,Sur,Coordinador,57.63,104.2,ok,sin novedad
2026-05-06,1,El Progreso,Sur,Vocero,38.83,237.36,ok,sin novedad
2026-05-07,1,Los Naranjos,Centro,Programador,59.89,229.74,ok,sin novedad
2026-05-08,2,San Miguel,Centro,Tester,35.54,165.04,dato_incompleto,dato reportado tarde
2026-05-09,2,La Rivera,Centro,Programador,64.51,90.65,ok,sin novedad
2026-05-10,2,Monteverde,Oriente,Programador,34.29,142.86,ok,sin novedad
2026-05-11,2,El Guadual,Oriente,Tester,32.04,163.91,ok,sin novedad
2026-05-12,2,Buena Vista,Oriente,Tester,41.48,242.51,ok,sin novedad
2026-05-13,2,La Esperanza,Norte,Documentador,23.84,83.9,ok,sin novedad
2026-05-14,2,El Progreso,Norte,Vocero,30.17,232.99,ok,sin novedad
2026-05-15,3,Los Naranjos,Norte,Vocero,41.43,152.79,dato_incompleto,falta firma
2026-05-16,3,San Miguel,Sur,Coordinador,39.91,135.72,ok,sin novedad
2026-05-17,3,La Rivera,Sur,Documentador,57.44,238.98,ok,sin novedad
2026-05-18,3,Monteverde,Sur,Programador,47.09,169.09,revisar,posible duplicado
2026-05-19,3,El Guadual,Centro,Documentador,76.75,218.45,ok,sin novedad
2026-05-20,3,Buena Vista,Centro,Programador,39.7,201.29,ok,sin novedad
2026-05-21,3,La Esperanza,Centro,Tester,28.89,204.52,ok,sin novedad
2026-05-22,4,El Progreso,Oriente,Disenador visual,66.59,120.22,ok,sin novedad
2026-05-23,4,Los Naranjos,Oriente,Tester,60.7,154.23,ok,sin novedad
2026-05-24,4,San Miguel,Oriente,Disenador visual,56.03,138.77,ok,sin novedad
2026-05-25,4,La Rivera,Norte,Vocero,33.3,105.18,ok,sin novedad
2026-05-26,4,Monteverde,Norte,Documentador,49.32,167.38,ok,sin novedad
2026-05-27,4,El Guadual,Norte,Vocero,77.72,211.39,ok,sin novedad
2026-05-28,4,Buena Vista,Sur,Vocero,72.85,96.96,dato_incompleto,dato reportado tarde
2026-05-29,5,La Esperanza,Sur,Tester,26.88,146.05,ok,sin novedad
2026-05-30,5,El Progreso,Sur,Programador,56.82,167.53,ok,sin novedad
2026-05-31,5,Los Naranjos,Centro,Coordinador,66.79,145.22,ok,sin novedad
2026-06-01,5,San Miguel,Centro,Coordinador,68.92,189.15,ok,sin novedad
2026-06-02,5,La Rivera,Centro,Disenador visual,59.58,255.62,ok,sin novedad
2026-06-03,5,Monteverde,Oriente,Programador,28.58,221.58,ok,sin novedad
2026-06-04,5,El Guadual,Oriente,Documentador,59.04,95.25,ok,sin novedad
2026-06-05,6,Buena Vista,Oriente,Documentador,38.4,172.44,ok,sin novedad
2026-06-06,6,La Esperanza,Norte,Programador,34.42,204.25,ok,sin novedad
2026-06-07,6,El Progreso,Norte,Programador,25.91,139.33,revisar,produccion atipica
2026-06-08,6,Los Naranjos,Norte,Vocero,27.3,103.4,ok,sin novedad
2026-06-09,6,San Miguel,Sur,Coordinador,47.36,156.33,revisar,posible duplicado
2026-06-10,6,La Rivera,Sur,Tester,29.56,164.05,ok,sin novedad
2026-06-11,6,Monteverde,Sur,Disenador visual,59.38,100.8,ok,sin novedad
2026-05-01,1,El Guadual,Centro,Documentador,39.84,247.57,ok,sin novedad
2026-05-02,1,Buena Vista,Centro,Programador,36.51,237.48,ok,sin novedad
2026-05-03,1,La Esperanza,Centro,Programador,40.9,241.13,ok,sin novedad
2026-05-04,1,El Progreso,Oriente,Vocero,38.52,244.85,ok,sin novedad
2026-05-05,1,Los Naranjos,Oriente,Programador,39.71,191.39,ok,sin novedad
2026-05-06,1,San Miguel,Oriente,Vocero,36.24,148.64,ok,sin novedad
2026-05-07,1,La Rivera,Norte,Coordinador,67.93,111.49,ok,sin novedad
2026-05-08,2,Monteverde,Norte,Coordinador,50.17,212.24,ok,sin novedad
2026-05-09,2,El Guadual,Norte,Tester,31.44,149.21,ok,sin novedad
2026-05-10,2,Buena Vista,Sur,Vocero,62.08,77.35,ok,sin novedad
2026-05-11,2,La Esperanza,Sur,Tester,25.38,196.75,revisar,verificar registro manual
2026-05-12,2,El Progreso,Sur,Documentador,64.7,164.74,ok,sin novedad
2026-05-13,2,Los Naranjos,Centro,Vocero,62.52,193.1,ok,sin novedad
2026-05-14,2,San Miguel,Centro,Tester,46.32,251.3,ok,sin novedad
2026-05-15,3,La Rivera,Centro,Vocero,43.71,119.67,ok,sin novedad
2026-05-16,3,Monteverde,Oriente,Programador,43.83,222.3,revisar,posible duplicado
2026-05-17,3,El Guadual,Oriente,Coordinador,33.24,216.91,ok,sin novedad
2026-05-18,3,Buena Vista,Oriente,Coordinador,39.96,225.75,ok,sin novedad
2026-05-19,3,La Esperanza,Norte,Disenador visual,21.99,225.47,ok,sin novedad
2026-05-20,3,El Progreso,Norte,Tester,69.17,185.94,ok,sin novedad
2026-05-21,3,Los Naranjos,Norte,Documentador,63.41,137.96,ok,sin novedad
2026-05-22,4,San Miguel,Sur,Documentador,52.54,152.68,ok,sin novedad
2026-05-23,4,La Rivera,Sur,Programador,74.47,233.52,ok,sin novedad
2026-05-24,4,Monteverde,Sur,Coordinador,31.27,143.29,ok,sin novedad
2026-05-25,4,El Guadual,Centro,Programador,63.14,186.78,ok,sin novedad
2026-05-26,4,Buena Vista,Centro,Programador,66.15,215.27,ok,sin novedad
2026-05-27,4,La Esperanza,Centro,Coordinador,58.29,206.3,ok,sin novedad
2026-05-28,4,El Progreso,Oriente,Disenador visual,23.55,226.13,ok,sin novedad
2026-05-29,5,Los Naranjos,Oriente,Vocero,41.14,133.48,ok,sin novedad
2026-05-30,5,San Miguel,Oriente,Programador,30.3,255.7,ok,sin novedad
2026-05-31,5,La Rivera,Norte,Tester,29.2,94.98,ok,sin novedad
2026-06-01,5,Monteverde,Norte,Documentador,77.78,239.73,ok,sin novedad
2026-06-02,5,El Guadual,Norte,Programador,68.09,128.4,ok,sin novedad
2026-06-03,5,Buena Vista,Sur,Documentador,81.53,162.4,ok,sin novedad
2026-06-04,5,La Esperanza,Sur,Programador,47.43,130.22,ok,sin novedad
2026-06-05,6,El Progreso,Sur,Vocero,61.03,135.8,ok,sin novedad
2026-06-06,6,Los Naranjos,Centro,Documentador,24.14,89.83,ok,sin novedad
2026-06-07,6,San Miguel,Centro,Programador,27.72,145.86,ok,sin novedad
2026-06-08,6,La Rivera,Centro,Documentador,74.82,148.0,ok,sin novedad
2026-06-09,6,Monteverde,Oriente,Vocero,58.91,185.25,ok,sin novedad
2026-06-10,6,El Guadual,Oriente,Documentador,73.41,195.12,revisar,verificar registro manual
2026-06-11,6,Buena Vista,Oriente,Coordinador,72.71,178.77,ok,sin novedad
2026-05-01,1,La Esperanza,Norte,Tester,26.23,200.47,ok,sin novedad
2026-05-02,1,El Progreso,Norte,Disenador visual,31.13,115.68,ok,sin novedad
2026-05-03,1,Los Naranjos,Norte,Tester,68.54,88.0,ok,sin novedad
2026-05-04,1,San Miguel,Sur,Tester,30.61,74.84,ok,sin novedad
2026-05-05,1,La Rivera,Sur,Tester,31.38,240.83,ok,sin novedad
2026-05-06,1,Monteverde,Sur,Coordinador,48.03,232.21,ok,sin novedad
2026-05-07,1,El Guadual,Centro,Vocero,31.89,155.73,ok,sin novedad
2026-05-08,2,Buena Vista,Centro,Programador,62.91,186.24,ok,sin novedad
2026-05-09,2,La Esperanza,Centro,Vocero,19.27,152.24,dato_incompleto,pendiente confirmar turno
2026-05-10,2,El Progreso,Oriente,Documentador,68.4,101.63,ok,sin novedad
2026-05-11,2,Los Naranjos,Oriente,Documentador,68.13,140.7,revisar,posible duplicado
2026-05-12,2,San Miguel,Oriente,Programador,49.91,243.21,ok,sin novedad
2026-05-13,2,La Rivera,Norte,Documentador,29.46,156.57,dato_incompleto,dato reportado tarde
2026-05-14,2,Monteverde,Norte,Programador,33.61,137.16,ok,sin novedad
2026-05-15,3,El Guadual,Norte,Coordinador,40.16,215.51,ok,sin novedad
2026-05-16,3,Buena Vista,Sur,Coordinador,49.57,183.23,ok,sin novedad
2026-05-17,3,La Esperanza,Sur,Programador,63.0,159.83,ok,sin novedad
2026-05-18,3,El Progreso,Sur,Disenador visual,41.47,115.26,ok,sin novedad
2026-05-19,3,Los Naranjos,Centro,Coordinador,51.31,141.18,ok,sin novedad
2026-05-20,3,San Miguel,Centro,Coordinador,68.21,242.03,ok,sin novedad
2026-05-21,3,La Rivera,Centro,Coordinador,53.3,77.85,ok,sin novedad
2026-05-22,4,Monteverde,Oriente,Coordinador,55.64,157.95,ok,sin novedad
2026-05-23,4,El Guadual,Oriente,Tester,61.94,226.11,ok,sin novedad
2026-05-24,4,Buena Vista,Oriente,Disenador visual,39.55,131.46,ok,sin novedad
2026-05-25,4,La Esperanza,Norte,Tester,40.68,154.15,ok,sin novedad
2026-05-26,4,El Progreso,Norte,Disenador visual,47.8,182.02,ok,sin novedad
2026-05-27,4,Los Naranjos,Norte,Coordinador,69.22,218.12,ok,sin novedad
2026-05-28,4,San Miguel,Sur,Tester,46.43,214.16,ok,sin novedad
2026-05-29,5,La Rivera,Sur,Coordinador,42.2,187.87,revisar,posible duplicado
2026-05-30,5,Monteverde,Sur,Disenador visual,51.48,127.23,ok,sin novedad
2026-05-31,5,El Guadual,Centro,Documentador,62.06,121.7,ok,sin novedad
2026-06-01,5,Buena Vista,Centro,Programador,39.36,190.12,ok,sin novedad
2026-06-02,5,La Esperanza,Centro,Tester,44.58,169.5,ok,sin novedad
2026-06-03,5,El Progreso,Oriente,Vocero,39.56,195.78,ok,sin novedad
2026-06-04,5,Los Naranjos,Oriente,Programador,25.29,210.85,ok,sin novedad
2026-06-05,6,San Miguel,Oriente,Tester,35.34,198.73,ok,sin novedad
2026-06-06,6,La Rivera,Norte,Disenador visual,38.0,195.53,revisar,posible duplicado
2026-06-07,6,Monteverde,Norte,Programador,60.51,66.3,ok,sin novedad
2026-06-08,6,El Guadual,Norte,Programador,72.53,222.29,ok,sin novedad
2026-06-09,6,Buena Vista,Sur,Coordinador,70.68,246.27,dato_incompleto,pendiente confirmar turno
2026-06-10,6,La Esperanza,Sur,Programador,30.74,113.68,ok,sin novedad
2026-06-11,6,El Progreso,Sur,Disenador visual,60.38,151.07,ok,sin novedad
2026-05-01,1,Los Naranjos,Centro,Programador,25.3,85.03,ok,sin novedad
2026-05-02,1,San Miguel,Centro,Programador,74.19,208.36,ok,sin novedad
2026-05-03,1,La Rivera,Centro,Tester,43.54,213.85,ok,sin novedad
2026-05-04,1,Monteverde,Oriente,Coordinador,51.53,113.87,ok,sin novedad
2026-05-05,1,El Guadual,Oriente,Programador,62.47,190.93,ok,sin novedad
2026-05-06,1,Buena Vista,Oriente,Documentador,77.06,97.23,dato_incompleto,falta firma
2026-05-07,1,La Esperanza,Norte,Disenador visual,22.89,86.5,ok,sin novedad
2026-05-08,2,El Progreso,Norte,Vocero,69.1,183.75,ok,sin novedad
2026-05-09,2,Los Naranjos,Norte,Coordinador,67.02,191.67,ok,sin novedad
2026-05-10,2,San Miguel,Sur,Disenador visual,67.04,108.97,ok,sin novedad
2026-05-11,2,La Rivera,Sur,Tester,54.71,212.11,ok,sin novedad
2026-05-12,2,Monteverde,Sur,Coordinador,71.41,239.77,ok,sin novedad
2026-05-13,2,El Guadual,Centro,Programador,38.22,118.12,ok,sin novedad
2026-05-14,2,Buena Vista,Centro,Disenador visual,36.49,182.37,ok,sin novedad
2026-05-15,3,La Esperanza,Centro,Documentador,33.03,128.46,ok,sin novedad
2026-05-16,3,El Progreso,Oriente,Vocero,33.17,254.32,ok,sin novedad
2026-05-17,3,Los Naranjos,Oriente,Coordinador,22.93,234.66,ok,sin novedad
2026-05-18,3,San Miguel,Oriente,Tester,65.82,101.74,ok,sin novedad
2026-05-19,3,La Rivera,Norte,Vocero,74.57,71.79,revisar,posible duplicado
2026-05-20,3,Monteverde,Norte,Programador,66.4,93.75,ok,sin novedad
2026-05-21,3,El Guadual,Norte,Documentador,42.27,118.6,ok,sin novedad
2026-05-22,4,Buena Vista,Sur,Tester,63.32,120.99,ok,sin novedad
2026-05-23,4,La Esperanza,Sur,Documentador,32.3,230.04,ok,sin novedad
2026-05-24,4,El Progreso,Sur,Coordinador,66.38,241.55,ok,sin novedad
2026-05-25,4,Los Naranjos,Centro,Documentador,39.06,185.09,ok,sin novedad
2026-05-26,4,San Miguel,Centro,Disenador visual,49.93,159.13,ok,sin novedad
2026-05-27,4,La Rivera,Centro,Coordinador,75.18,229.78,ok,sin novedad
2026-05-28,4,Monteverde,Oriente,Programador,71.46,213.89,ok,sin novedad
2026-05-29,5,El Guadual,Oriente,Documentador,65.47,214.4,ok,sin novedad
2026-05-30,5,Buena Vista,Oriente,Disenador visual,53.93,128.97,ok,sin novedad
2026-05-31,5,La Esperanza,Norte,Programador,34.32,192.69,ok,sin novedad
2026-06-01,5,El Progreso,Norte,Coordinador,45.98,165.5,dato_incompleto,falta firma
2026-06-02,5,Los Naranjos,Norte,Coordinador,56.24,70.16,ok,sin novedad
2026-06-03,5,San Miguel,Sur,Disenador visual,43.86,110.31,ok,sin novedad
2026-06-04,5,La Rivera,Sur,Coordinador,51.0,179.44,ok,sin novedad
2026-06-05,6,Monteverde,Sur,Coordinador,38.23,159.35,ok,sin novedad
2026-06-06,6,El Guadual,Centro,Coordinador,39.88,135.01,ok,sin novedad
2026-06-07,6,Buena Vista,Centro,Coordinador,35.68,205.5,ok,sin novedad
2026-06-08,6,La Esperanza,Centro,Programador,20.36,227.04,ok,sin novedad
2026-06-09,6,El Progreso,Oriente,Vocero,25.41,169.44,ok,sin novedad
2026-06-10,6,Los Naranjos,Oriente,Coordinador,43.37,155.61,ok,sin novedad
2026-06-11,6,San Miguel,Oriente,Vocero,56.22,228.64,ok,sin novedad
2026-05-01,1,La Rivera,Norte,Tester,31.46,192.93,ok,sin novedad
2026-05-02,1,Monteverde,Norte,Coordinador,44.79,199.9,ok,sin novedad
2026-05-03,1,El Guadual,Norte,Tester,77.81,88.53,ok,sin novedad
2026-05-04,1,Buena Vista,Sur,Tester,42.51,86.74,ok,sin novedad
2026-05-05,1,La Esperanza,Sur,Vocero,51.77,234.08,ok,sin novedad
2026-05-06,1,El Progreso,Sur,Coordinador,29.77,86.79,ok,sin novedad
2026-05-07,1,Los Naranjos,Centro,Documentador,43.63,194.29,ok,sin novedad
2026-05-08,2,San Miguel,Centro,Vocero,72.85,145.14,ok,sin novedad
2026-05-09,2,La Rivera,Centro,Documentador,59.91,202.42,ok,sin novedad
2026-05-10,2,Monteverde,Oriente,Disenador visual,47.34,110.62,ok,sin novedad
2026-05-11,2,El Guadual,Oriente,Vocero,78.87,260.26,revisar,produccion atipica
2026-05-12,2,Buena Vista,Oriente,Coordinador,53.88,185.58,ok,sin novedad
2026-05-13,2,La Esperanza,Norte,Disenador visual,25.91,226.92,ok,sin novedad
2026-05-14,2,El Progreso,Norte,Documentador,37.21,193.07,dato_incompleto,falta firma
2026-05-15,3,Los Naranjos,Norte,Vocero,64.64,86.25,revisar,verificar registro manual
2026-05-16,3,San Miguel,Sur,Programador,28.0,147.27,ok,sin novedad
2026-05-17,3,La Rivera,Sur,Documentador,46.72,124.46,dato_incompleto,dato reportado tarde
2026-05-18,3,Monteverde,Sur,Tester,41.68,136.0,ok,sin novedad
2026-05-19,3,El Guadual,Centro,Programador,65.09,123.7,ok,sin novedad
2026-05-20,3,Buena Vista,Centro,Disenador visual,39.79,214.45,ok,sin novedad
2026-05-21,3,La Esperanza,Centro,Tester,43.32,192.8,ok,sin novedad
2026-05-22,4,El Progreso,Oriente,Vocero,37.45,189.2,ok,sin novedad
2026-05-23,4,Los Naranjos,Oriente,Disenador visual,63.07,189.53,ok,sin novedad
2026-05-24,4,San Miguel,Oriente,Vocero,59.66,173.04,revisar,posible duplicado
2026-05-25,4,La Rivera,Norte,Coordinador,38.99,115.72,ok,sin novedad
2026-05-26,4,Monteverde,Norte,Tester,72.91,164.92,ok,sin novedad
2026-05-27,4,El Guadual,Norte,Tester,38.81,238.61,ok,sin novedad
2026-05-28,4,Buena Vista,Sur,Coordinador,82.62,106.93,ok,sin novedad
2026-05-29,5,La Esperanza,Sur,Coordinador,50.42,218.41,ok,sin novedad
2026-05-30,5,El Progreso,Sur,Tester,51.1,111.73,ok,sin novedad
2026-05-31,5,Los Naranjos,Centro,Vocero,70.99,233.87,ok,sin novedad
2026-06-01,5,San Miguel,Centro,Disenador visual,51.26,155.99,ok,sin novedad
2026-06-02,5,La Rivera,Centro,Coordinador,28.52,121.75,ok,sin novedad
2026-06-03,5,Monteverde,Oriente,Coordinador,60.16,166.6,revisar,produccion atipica
2026-06-04,5,El Guadual,Oriente,Documentador,61.41,112.15,ok,sin novedad
2026-06-05,6,Buena Vista,Oriente,Documentador,58.58,163.91,ok,sin novedad
2026-06-06,6,La Esperanza,Norte,Disenador visual,43.31,94.95,ok,sin novedad
2026-06-07,6,El Progreso,Norte,Disenador visual,23.41,117.82,ok,sin novedad
2026-06-08,6,Los Naranjos,Norte,Tester,62.57,153.06,ok,sin novedad
2026-06-09,6,San Miguel,Sur,Disenador visual,30.16,109.11,ok,sin novedad
2026-06-10,6,La Rivera,Sur,Vocero,52.85,184.34,ok,sin novedad
2026-06-11,6,Monteverde,Sur,Programador,49.45,97.24,dato_incompleto,falta firma
2026-05-01,1,El Guadual,Centro,Tester,63.12,249.92,ok,sin novedad
2026-05-02,1,Buena Vista,Centro,Coordinador,67.28,175.0,ok,sin novedad
2026-05-03,1,La Esperanza,Centro,Disenador visual,45.66,227.03,ok,sin novedad
2026-05-04,1,El Progreso,Oriente,Documentador,48.3,171.52,ok,sin novedad
2026-05-05,1,Los Naranjos,Oriente,Documentador,64.7,106.36,ok,sin novedad
2026-05-06,1,San Miguel,Oriente,Coordinador,50.31,217.4,ok,sin novedad
2026-05-07,1,La Rivera,Norte,Documentador,38.02,129.13,ok,sin novedad
2026-05-08,2,Monteverde,Norte,Coordinador,63.83,130.83,ok,sin novedad
2026-05-09,2,El Guadual,Norte,Coordinador,48.45,186.86,ok,sin novedad
2026-05-10,2,Buena Vista,Sur,Tester,49.08,195.62,ok,sin novedad
2026-05-11,2,La Esperanza,Sur,Vocero,38.63,114.4,ok,sin novedad
2026-05-12,2,El Progreso,Sur,Vocero,28.93,158.46,ok,sin novedad
2026-05-13,2,Los Naranjos,Centro,Coordinador,24.26,238.29,ok,sin novedad
2026-05-14,2,San Miguel,Centro,Vocero,51.03,122.91,ok,sin novedad
2026-05-15,3,La Rivera,Centro,Tester,74.4,151.23,ok,sin novedad
2026-05-16,3,Monteverde,Oriente,Disenador visual,69.95,183.9,ok,sin novedad
2026-05-17,3,El Guadual,Oriente,Documentador,63.06,177.66,ok,sin novedad
2026-05-18,3,Buena Vista,Oriente,Tester,71.65,94.73,ok,sin novedad
2026-05-19,3,La Esperanza,Norte,Tester,58.1,219.51,revisar,produccion atipica
2026-05-20,3,El Progreso,Norte,Documentador,42.53,97.07,ok,sin novedad
2026-05-21,3,Los Naranjos,Norte,Disenador visual,22.53,153.26,ok,sin novedad
2026-05-22,4,San Miguel,Sur,Coordinador,50.15,171.9,ok,sin novedad
2026-05-23,4,La Rivera,Sur,Disenador visual,30.26,226.67,ok,sin novedad
2026-05-24,4,Monteverde,Sur,Documentador,77.0,126.68,revisar,verificar registro manual
2026-05-25,4,El Guadual,Centro,Vocero,66.98,113.84,ok,sin novedad
2026-05-26,4,Buena Vista,Centro,Vocero,44.29,154.62,ok,sin novedad
2026-05-27,4,La Esperanza,Centro,Programador,41.89,223.96,ok,sin novedad
2026-05-28,4,El Progreso,Oriente,Vocero,29.69,210.98,ok,sin novedad
2026-05-29,5,Los Naranjos,Oriente,Disenador visual,43.46,238.39,ok,sin novedad
2026-05-30,5,San Miguel,Oriente,Coordinador,48.36,114.93,ok,sin novedad
2026-05-31,5,La Rivera,Norte,Documentador,36.97,61.04,revisar,verificar registro manual
2026-06-01,5,Monteverde,Norte,Documentador,56.47,126.62,ok,sin novedad
2026-06-02,5,El Guadual,Norte,Tester,36.56,164.45,ok,sin novedad
2026-06-03,5,Buena Vista,Sur,Coordinador,70.8,216.88,ok,sin novedad
